Date Time;T_ex;G_h;En_Est;En_Ovest;En_PV_Est;En_PV_Ovest;G_est;G_ovest;P_est;P_ovest
2013-01-01 00:00:00.000;3,9;0;0;0;0;0;0;0;0;0
2013-01-01 00:15:00.000;3,9;0;0;0;0;0;0;0;0;0
2013-01-01 00:30:00.000;3,9;0;0;0;0;0;0;0;0;0
2013-01-01 00:45:00.000;3,6;0;0;0;0;0;0;0;0;0
2013-01-01 01:00:00.000;3,4;0;0;0;0;0;0;0;0;0
2013-01-01 01:15:00.000;3,5;0;0;0;0;0;0;0;0;0
2013-01-01 01:30:00.000;3,5;0;0;0;0;0;0;0;0;0
2013-01-01 01:45:00.000;3,8;0;0;0;0;0;0;0;0;0
2013-01-01 02:00:00.000;3,9;0;0;0;0;0;0;0;0;0
2013-01-01 02:15:00.000;4,1;0;0;0;0;0;0;0;0;0
2013-01-01 02:30:00.000;3,8;0;0;0;0;0;0;0;0;0
2013-01-01 02:45:00.000;3,6;0;0;0;0;0;0;0;0;0
2013-01-01 03:00:00.000;3,5;0;0;0;0;0;0;0;0;0
2013-01-01 03:15:00.000;3,4;0;0;0;0;0;0;0;0;0
2013-01-01 03:30:00.000;3,2;0;0;0;0;0;0;0;0;0
2013-01-01 03:45:00.000;3,1;0;0;0;0;0;0;0;0;0
2013-01-01 04:00:00.000;3,2;0;0;0;0;0;0;0;0;0
2013-01-01 04:15:00.000;3,6;0;0;0;0;0;0;0;0;0
2013-01-01 04:30:00.000;3,3;0;0;0;0;0;0;0;0;0
2013-01-01 04:45:00.000;3,1;0;0;0;0;0;0;0;0;0
2013-01-01 05:00:00.000;2,9;0;0;0;0;0;0;0;0;0
2013-01-01 05:15:00.000;2,9;0;0;0;0;0;0;0;0;0
2013-01-01 05:30:00.000;2,8;0;0;0;0;0;0;0;0;0
2013-01-01 05:45:00.000;2,5;0;0;0;0;0;0;0;0;0
2013-01-01 06:00:00.000;2,2;0;0;0;0;0;0;0;0;0
2013-01-01 06:15:00.000;1,9;0;0;0;0;0;0;0;0;0
2013-01-01 06:30:00.000;2;0;0;0;0;0;0;0;0;0
2013-01-01 06:45:00.000;1,9;0;0;0;0;0;0;0;0;0
2013-01-01 07:00:00.000;1,8;0;0;0;0;0;0;0;0;0
2013-01-01 07:15:00.000;1,9;0;0;0;0;0;0;0;0;0
2013-01-01 07:30:00.000;1,9;0;0;0;0;0;0;0;0;0
2013-01-01 07:45:00.000;1,8;0;0;0;0;0;0;0;0;0
2013-01-01 08:00:00.000;1,8;0;0;0;0;0;0;0;0;0
2013-01-01 08:15:00.000;1,7;2,4;0;0;0;0;0;0;0;0
2013-01-01 08:30:00.000;1,6;6,6;0;0;0;0;0;0;0;0
2013-01-01 08:45:00.000;1,5;15,8;0;0;0;0;0;0;0;0
2013-01-01 09:00:00.000;1,3;28,4;0;0;0;0;0;0;0;0
2013-01-01 09:15:00.000;1,6;58,2;0;0;0;0;0;0;0;0
2013-01-01 09:30:00.000;2,2;68;0;0;0;0;0;0;0;0
2013-01-01 09:45:00.000;2,2;70,9;0;0;0;0;0;0;0;0
2013-01-01 10:00:00.000;2,3;96,5;0;0;0;0;0;0;0;0
2013-01-01 10:15:00.000;2,9;115;0;0;0;0;0;0;0;0
2013-01-01 10:30:00.000;3,3;107,5;0;0;0;0;0;0;0;0
2013-01-01 10:45:00.000;3,8;95,4;0;0;0;0;0;0;0;0
2013-01-01 11:00:00.000;3,9;117,5;0;0;0;0;0;0;0;0
2013-01-01 11:15:00.000;4,1;136,2;0;0;0;0;0;0;0;0
2013-01-01 11:30:00.000;4,6;140,6;0;0;0;0;0;0;0;0
2013-01-01 11:45:00.000;5,1;141,7;0;0;0;0;0;0;0;0
2013-01-01 12:00:00.000;5,3;200,3;0;0;0;0;0;0;0;0
2013-01-01 12:15:00.000;5,5;229,5;0;0;0;0;0;0;0;0
2013-01-01 12:30:00.000;5,7;202,4;0;0;0;0;0;0;0;0
2013-01-01 12:45:00.000;6,3;236,1;0;0;0;0;0;0;0;0
2013-01-01 13:00:00.000;6,5;310,6;0;0;0;0;0;0;0;0
2013-01-01 13:15:00.000;6,9;332,8;0;0;0;0;0;0;0;0
2013-01-01 13:30:00.000;6,6;243,9;0;0;0;0;0;0;0;0
2013-01-01 13:45:00.000;6,5;160,7;0;0;0;0;0;0;0;0
2013-01-01 14:00:00.000;6,8;181,1;0;0;0;0;0;0;0;0
2013-01-01 14:15:00.000;7,5;305,4;0;0;0;0;0;0;0;0
2013-01-01 14:30:00.000;7,8;195,2;0;0;0;0;0;0;0;0
2013-01-01 14:45:00.000;7,4;146,3;0;0;0;0;0;0;0;0
2013-01-01 15:00:00.000;7,2;148,8;0;0;0;0;0;0;0;0
2013-01-01 15:15:00.000;6,9;106,2;0;0;0;0;0;0;0;0
2013-01-01 15:30:00.000;7;81,5;0;0;0;0;0;0;0;0
2013-01-01 15:45:00.000;6,8;54,7;0;0;0;0;0;0;0;0
2013-01-01 16:00:00.000;6,6;44,2;0;0;0;0;0;0;0;0
2013-01-01 16:15:00.000;6,7;27,6;0;0;0;0;0;0;0;0
2013-01-01 16:30:00.000;6,8;18,2;0;0;0;0;0;0;0;0
2013-01-01 16:45:00.000;6,5;8,9;0;0;0;0;0;0;0;0
2013-01-01 17:00:00.000;6,4;4,2;0;0;0;0;0;0;0;0
2013-01-01 17:15:00.000;6,5;1,8;0;0;0;0;0;0;0;0
2013-01-01 17:30:00.000;6,1;1;0;0;0;0;0;0;0;0
2013-01-01 17:45:00.000;5,9;0,7;0;0;0;0;0;0;0;0
2013-01-01 18:00:00.000;5,9;0,7;0;0;0;0;0;0;0;0
2013-01-01 18:15:00.000;5,7;0,7;0;0;0;0;0;0;0;0
2013-01-01 18:30:00.000;5,7;0,7;0;0;0;0;0;0;0;0
2013-01-01 18:45:00.000;5,6;0,8;0;0;0;0;0;0;0;0
2013-01-01 19:00:00.000;5,5;0,8;0;0;0;0;0;0;0;0
2013-01-01 19:15:00.000;5,5;0,7;0;0;0;0;0;0;0;0
2013-01-01 19:30:00.000;5,6;0,6;0;0;0;0;0;0;0;0
2013-01-01 19:45:00.000;5,5;0,7;0;0;0;0;0;0;0;0
2013-01-01 20:00:00.000;5,5;0,7;0;0;0;0;0;0;0;0
2013-01-01 20:15:00.000;5,6;0,7;0;0;0;0;0;0;0;0
2013-01-01 20:30:00.000;5,9;0,7;0;0;0;0;0;0;0;0
2013-01-01 20:45:00.000;5,8;0,6;0;0;0;0;0;0;0;0
2013-01-01 21:00:00.000;5,7;0,7;0;0;0;0;0;0;0;0
2013-01-01 21:15:00.000;5,5;0,7;0;0;0;0;0;0;0;0
2013-01-01 21:30:00.000;5,3;0,8;0;0;0;0;0;0;0;0
2013-01-01 21:45:00.000;5,1;0,9;0;0;0;0;0;0;0;0
2013-01-01 22:00:00.000;5;0,6;0;0;0;0;0;0;0;0
2013-01-01 22:15:00.000;5;0,4;0;0;0;0;0;0;0;0
2013-01-01 22:30:00.000;5,1;0,2;0;0;0;0;0;0;0;0
2013-01-01 22:45:00.000;5,1;0;0;0;0;0;0;0;0;0
2013-01-01 23:00:00.000;5,2;0;0;0;0;0;0;0;0;0
2013-01-01 23:15:00.000;5,3;0,1;0;0;0;0;0;0;0;0
2013-01-01 23:30:00.000;5,4;0,3;0;0;0;0;0;0;0;0
2013-01-01 23:45:00.000;5,4;0,4;0;0;0;0;0;0;0;0
2013-01-02 00:00:00.000;5;0,4;0;0;0;0;0;0;0;0
2013-01-02 00:15:00.000;5,1;0,6;0,25;0,25;0;0;1;1;0;0
2013-01-02 00:30:00.000;5;0,5;0,25;0,25;0;0;1;1;0;0
2013-01-02 00:45:00.000;5;0,6;0,25;0,25;0;0;1;1;0;0
2013-01-02 01:00:00.000;4,6;0,6;0,25;0,25;0;0;1;1;0;0
2013-01-02 01:15:00.000;4,4;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 01:30:00.000;4,3;0,4;0,25;0,25;0;0;1;1;0;0
2013-01-02 01:45:00.000;4,2;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 02:00:00.000;4,1;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 02:15:00.000;3,9;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 02:30:00.000;3,9;0,4;0,25;0,25;0;0;1;1;0;0
2013-01-02 02:45:00.000;3,9;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 03:00:00.000;4;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 03:15:00.000;4,1;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 03:30:00.000;4,2;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 03:45:00.000;4,2;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 04:00:00.000;4,2;0,5;0,25;0,25;0;0;1;1;0;0
2013-01-02 04:15:00.000;4,1;0,6;0,25;0,25;0;0;1;1;0;0
2013-01-02 04:30:00.000;4,2;0,6;0,25;0,25;0;0;1;1;0;0
2013-01-02 04:45:00.000;4,4;0,5;0,25;0,25;0;0;1;1;0;0
2013-01-02 05:00:00.000;4,4;0,5;0,25;0,25;0;0;1;1;0;0
2013-01-02 05:15:00.000;4,3;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 05:30:00.000;4,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 05:45:00.000;4,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 06:00:00.000;4,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 06:15:00.000;4;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 06:30:00.000;4,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 06:45:00.000;3,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 07:00:00.000;3,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 07:15:00.000;3,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 07:30:00.000;3,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 07:45:00.000;3,1;0;0,133333333;0,15;0;0;0,533333333;0,6;0;0
2013-01-02 08:00:00.000;3;0;0,116666667;0,1;0;0;0,466666667;0,4;0;0
2013-01-02 08:15:00.000;3,3;0;0,75;0,533333333;0;0;3;2,133333333;0;0
2013-01-02 08:30:00.000;3,4;1,9;1,5;1,266666667;0;0;6;5,066666667;0;0
2013-01-02 08:45:00.000;3,3;5,4;2,766666667;1,966666667;0;0;11,06666667;7,866666667;0;0
2013-01-02 09:00:00.000;3,1;9,9;6,083333333;2,816666667;0,03;0;24,33333333;11,26666667;0;0
2013-01-02 09:15:00.000;3,1;18,5;8,3;3,616666667;0,05;0,01;33,2;14,46666667;0;0
2013-01-02 09:30:00.000;3,1;24,7;10,26666667;4,266666667;0,07;0,01;41,06666667;17,06666667;0;0
2013-01-02 09:45:00.000;3,3;30,2;11,55;4,6;0,09;0,01;46,2;18,4;0;0
2013-01-02 10:00:00.000;3,3;35,8;30,58333333;6,416666667;0,26;0,06;122,3333333;25,66666667;0;0
2013-01-02 10:15:00.000;3,1;68,2;65,21666667;11,43333333;0,75;0,13;260,8666667;45,73333333;0;0
2013-01-02 10:30:00.000;3,3;152,2;91,55;12,88333333;1,03;0,14;366,2;51,53333333;0;0
2013-01-02 10:45:00.000;4,4;192,1;114,2;15,13333333;1,31;0,19;456,8;60,53333333;0;0
2013-01-02 11:00:00.000;5,1;231,4;115,1333333;15,96666667;1,3;0,21;460,5333333;63,86666667;0;0
2013-01-02 11:15:00.000;5,9;262,4;119,3666667;12,85;1,39;0,16;477,4666667;51,4;0;0
2013-01-02 11:30:00.000;6,4;275,3;115,3666667;13,03333333;1,35;0,15;461,4666667;52,13333333;0;0
2013-01-02 11:45:00.000;7;283,5;111,6666667;17,06666667;1,32;0,16;446,6666667;68,26666667;0;0
2013-01-02 12:00:00.000;7,3;295,9;108,2333333;18,66666667;1,29;0,18;432,9333333;74,66666667;0;0
2013-01-02 12:15:00.000;7,5;304,1;103,9166667;23,06666667;1,25;0,2;415,6666667;92,26666667;0;0
2013-01-02 12:30:00.000;7,8;311,2;98,76666667;30,46666667;1,21;0,21;395,0666667;121,8666667;0;0
2013-01-02 12:45:00.000;8,4;315,8;92,13333333;30,03333333;1,15;0,24;368,5333333;120,1333333;0;0
2013-01-02 13:00:00.000;8,6;317,7;84,3;30,05;1,06;0,26;337,2;120,2;0;0
2013-01-02 13:15:00.000;8,3;314,8;77,15;34,43333333;0,99;0,35;308,6;137,7333333;0;0
2013-01-02 13:30:00.000;8,7;310,9;67,66666667;40,03333333;0,88;0,46;270,6666667;160,1333333;0;0
2013-01-02 13:45:00.000;8,8;296,2;58,6;45,88333333;0,78;0,54;234,4;183,5333333;0;0
2013-01-02 14:00:00.000;8,8;285,3;49,8;50,86666667;0,68;0,56;199,2;203,4666667;0;0
2013-01-02 14:15:00.000;8,9;269;40,98333333;52,73333333;0,56;0,55;163,9333333;210,9333333;0;0
2013-01-02 14:30:00.000;8,7;246,9;32,28333333;48,88333333;0,44;0,52;129,1333333;195,5333333;0;0
2013-01-02 14:45:00.000;8,4;219,2;24,45;44,33333333;0,33;0,47;97,8;177,3333333;0;0
2013-01-02 15:00:00.000;8,2;186,7;18,3;40,13333333;0,24;0,42;73,2;160,5333333;0;0
2013-01-02 15:15:00.000;8,3;158;14,88333333;38,63333333;0,18;0,41;59,53333333;154,5333333;0;0
2013-01-02 15:30:00.000;8,4;141,5;12,33333333;35,28333333;0,13;0,37;49,33333333;141,1333333;0;0
2013-01-02 15:45:00.000;8,5;122,4;8,833333333;27,78333333;0,08;0,29;35,33333333;111,1333333;0;0
2013-01-02 16:00:00.000;7,9;93,9;6,666666667;15,2;0,05;0,16;26,66666667;60,8;0;0
2013-01-02 16:15:00.000;7,6;60,5;5,933333333;12,03333333;0,04;0,1;23,73333333;48,13333333;0;0
2013-01-02 16:30:00.000;7,2;43,8;4,316666667;6,583333333;0,01;0,05;17,26666667;26,33333333;0;0
2013-01-02 16:45:00.000;7;32;2,6;3,65;0;0;10,4;14,6;0;0
2013-01-02 17:00:00.000;6,7;16,3;1,1;1,4;0;0;4,4;5,6;0;0
2013-01-02 17:15:00.000;6,4;4,9;0,333333333;0,5;0;0;1,333333333;2;0;0
2013-01-02 17:30:00.000;6,4;1;0,016666667;0,05;0;0;0,066666667;0,2;0;0
2013-01-02 17:45:00.000;6,2;0;0,25;0,2;0;0;1;0,8;0;0
2013-01-02 18:00:00.000;6,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 18:15:00.000;5,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 18:30:00.000;6;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 18:45:00.000;5,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 19:00:00.000;5,5;0,1;0,25;0,25;0;0;1;1;0;0
2013-01-02 19:15:00.000;5,4;0,1;0,25;0,25;0;0;1;1;0;0
2013-01-02 19:30:00.000;5,3;0,2;0,25;0,25;0;0;1;1;0;0
2013-01-02 19:45:00.000;5,2;0,3;0,25;0,25;0;0;1;1;0;0
2013-01-02 20:00:00.000;5,2;0,1;0,25;0,25;0;0;1;1;0;0
2013-01-02 20:15:00.000;5,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 20:30:00.000;5,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 20:45:00.000;5,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 21:00:00.000;4,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 21:15:00.000;4,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 21:30:00.000;4,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 21:45:00.000;4,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 22:00:00.000;4,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 22:15:00.000;4,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 22:30:00.000;4,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 22:45:00.000;4,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 23:00:00.000;4,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 23:15:00.000;4,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 23:30:00.000;4,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-02 23:45:00.000;4,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 00:00:00.000;4,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 00:15:00.000;4,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 00:30:00.000;4,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 00:45:00.000;4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 01:00:00.000;4,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 01:15:00.000;4,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 01:30:00.000;3,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 01:45:00.000;4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 02:00:00.000;4,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 02:15:00.000;4,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 02:30:00.000;4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 02:45:00.000;3,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 03:00:00.000;3,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 03:15:00.000;3,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 03:30:00.000;3,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 03:45:00.000;3,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 04:00:00.000;4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 04:15:00.000;3,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 04:30:00.000;3,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 04:45:00.000;2,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 05:00:00.000;2,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 05:15:00.000;2,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 05:30:00.000;2,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 05:45:00.000;3;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 06:00:00.000;3,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 06:15:00.000;3,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 06:30:00.000;3,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 06:45:00.000;3,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 07:00:00.000;2,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 07:15:00.000;3;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 07:30:00.000;2,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 07:45:00.000;2,5;0;0;0,066666667;0;0;0;0,266666667;0;0
2013-01-03 08:00:00.000;2,4;0;0,433333333;0,2;0;0;1,733333333;0,8;0;0
2013-01-03 08:15:00.000;2,5;0,2;1,55;0,9;0;0;6,2;3,6;0;0
2013-01-03 08:30:00.000;2,8;3,5;3,35;2;0;0;13,4;8;0;0
2013-01-03 08:45:00.000;2,7;9,4;17,4;3,45;0,1;0,01;69,6;13,8;0;0
2013-01-03 09:00:00.000;3,1;24;53;5,1;0,44;0,03;212;20,4;0;0
2013-01-03 09:15:00.000;3,9;51,7;72,61666667;6,266666667;0,64;0,06;290,4666667;25,06666667;0;0
2013-01-03 09:30:00.000;4,3;77,9;85,33333333;7,133333333;0,91;0,07;341,3333333;28,53333333;0;0
2013-01-03 09:45:00.000;4,5;102,9;96,55;7,7;1,05;0,08;386,2;30,8;0;0
2013-01-03 10:00:00.000;5;128,8;104,5;8,15;1,15;0,09;418;32,6;0;0
2013-01-03 10:15:00.000;5,5;158,6;112,4833333;8,85;1,24;0,1;449,9333333;35,4;0;0
2013-01-03 10:30:00.000;5,5;189,1;116,05;9,95;1,3;0,11;464,2;39,8;0;0
2013-01-03 10:45:00.000;5,6;213,1;117,35;10,73333333;1,33;0,12;469,4;42,93333333;0;0
2013-01-03 11:00:00.000;5,7;235,9;119,8166667;10,98333333;1,36;0,12;479,2666667;43,93333333;0;0
2013-01-03 11:15:00.000;5,9;255,7;120,1333333;11,23333333;1,37;0,13;480,5333333;44,93333333;0;0
2013-01-03 11:30:00.000;6,2;272;116,5;12,5;1,34;0,14;466;50;0;0
2013-01-03 11:45:00.000;6,7;286;112,9;17,06666667;1,32;0,16;451,6;68,26666667;0;0
2013-01-03 12:00:00.000;7,4;298,4;107,55;18,45;1,27;0,18;430,2;73,8;0;0
2013-01-03 12:15:00.000;7,7;301,1;104,9333333;22,25;1,26;0,18;419,7333333;89;0;0
2013-01-03 12:30:00.000;8;314,5;98,4;29,81666667;1,2;0,2;393,6;119,2666667;0;0
2013-01-03 12:45:00.000;8,7;316,4;91,41666667;29,1;1,13;0,22;365,6666667;116,4;0;0
2013-01-03 13:00:00.000;9;319;85,98333333;29,18333333;1,09;0,28;343,9333333;116,7333333;0;0
2013-01-03 13:15:00.000;8,9;324,3;79,3;33,26666667;1,02;0,35;317,2;133,0666667;0;0
2013-01-03 13:30:00.000;8,5;324,2;71,75;40,3;0,95;0,44;287;161,2;0;0
2013-01-03 13:45:00.000;8,9;318,4;63,55;48,56666667;0,86;0,55;254,2;194,2666667;0;0
2013-01-03 14:00:00.000;9,2;310,3;53,53333333;55,48333333;0,75;0,58;214,1333333;221,9333333;0;0
2013-01-03 14:15:00.000;9,4;299,4;45,05;61,33333333;0,63;0,6;180,2;245,3333333;0;0
2013-01-03 14:30:00.000;8,9;287,3;35,96666667;62,05;0,52;0,62;143,8666667;248,2;0;0
2013-01-03 14:45:00.000;9,5;269,1;27,25;61,5;0,39;0,62;109;246;0;0
2013-01-03 15:00:00.000;9,8;244;20,03333333;60,91666667;0,28;0,6;80,13333333;243,6666667;0;0
2013-01-03 15:15:00.000;10,2;215,9;13,61666667;58,51666667;0,16;0,59;54,46666667;234,0666667;0;0
2013-01-03 15:30:00.000;10,3;194,2;9,433333333;55,55;0,1;0,54;37,73333333;222,2;0;0
2013-01-03 15:45:00.000;10,1;166,1;7,933333333;50,76666667;0,06;0,5;31,73333333;203,0666667;0;0
2013-01-03 16:00:00.000;10;135,7;6,85;39,25;0,04;0,39;27,4;157;0;0
2013-01-03 16:15:00.000;10,1;105,8;5,55;35,96666667;0,03;0,29;22,2;143,8666667;0;0
2013-01-03 16:30:00.000;9,9;78,4;4,216666667;8,65;0,01;0,05;16,86666667;34,6;0;0
2013-01-03 16:45:00.000;10;51,3;2,9;3,533333333;0;0,01;11,6;14,13333333;0;0
2013-01-03 17:00:00.000;9,6;25,5;1,35;1,633333333;0;0;5,4;6,533333333;0;0
2013-01-03 17:15:00.000;9,1;5,3;0,466666667;0,666666667;0;0;1,866666667;2,666666667;0;0
2013-01-03 17:30:00.000;9,1;1,2;0,016666667;0,133333333;0;0;0,066666667;0,533333333;0;0
2013-01-03 17:45:00.000;8,9;0;0,216666667;0,133333333;0;0;0,866666667;0,533333333;0;0
2013-01-03 18:00:00.000;8,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 18:15:00.000;8,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 18:30:00.000;8,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 18:45:00.000;8,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 19:00:00.000;8;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 19:15:00.000;7,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 19:30:00.000;7,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 19:45:00.000;7,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 20:00:00.000;7,4;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 20:15:00.000;7;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 20:30:00.000;6,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 20:45:00.000;6,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 21:00:00.000;6,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 21:15:00.000;6,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 21:30:00.000;6,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 21:45:00.000;7;0,1;0,25;0,25;0;0;1;1;0;0
2013-01-03 22:00:00.000;6,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 22:15:00.000;6,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 22:30:00.000;6,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 22:45:00.000;6,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 23:00:00.000;6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 23:15:00.000;5,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 23:30:00.000;5,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-03 23:45:00.000;5,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 00:00:00.000;5,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 00:15:00.000;5,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 00:30:00.000;5,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 00:45:00.000;5,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 01:00:00.000;5;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 01:15:00.000;4,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 01:30:00.000;4,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 01:45:00.000;4,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 02:00:00.000;4,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 02:15:00.000;3,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 02:30:00.000;3,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 02:45:00.000;3,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 03:00:00.000;4,1;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 03:15:00.000;4;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 03:30:00.000;4,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 03:45:00.000;4,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 04:00:00.000;3,9;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 04:15:00.000;3,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 04:30:00.000;4,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 04:45:00.000;4,2;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 05:00:00.000;4,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 05:15:00.000;4,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 05:30:00.000;4,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 05:45:00.000;4,3;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 06:00:00.000;4;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 06:15:00.000;3,3;0,1;0,25;0,25;0;0;1;1;0;0
2013-01-04 06:30:00.000;2,8;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 06:45:00.000;2,6;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 07:00:00.000;2,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 07:15:00.000;2,7;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 07:30:00.000;2,5;0;0,25;0,25;0;0;1;1;0;0
2013-01-04 07:45:00.000;2,3;0;0,016666667;0,116666667;0;0;0,066666667;0,466666667;0;0
